% Model,TE and H2_array.mph,,
% Version,COMSOL 5.6.0.280,,
% Date,"Dec 2 2022, 14:38",,
% Dimension,3,,
% Nodes,20933,,
% Expressions,2,,
% Description,"Temperature, Temperature",,
% Length unit,mm,,
% x,y,z,T (K)
0.858576759,11.44216837,-1.7,311.3824002
1.466768342,11.16979331,-2,311.43712
0.3,11.25,-1.7,311.3856789
0.3,10.65,-1.7,311.3829783
1.017393052,10.65,-1.7,311.3766654
2.297378439,12,-1.7,311.4060259
2.056895931,12,-2,311.4567683
3,12,-2,311.4772592
2.7,10.65,-1.7,311.3806911
3,11.25,-1.7,311.4354849
3,11.25,-2,311.4717213
1.982606948,10.65,-1.7,311.3721091
1.017393052,11.85,-1.7,311.3880822
1.5,12,-1.7,311.4105623
1.458087574,11.3198027,-1.7,311.3811548
2.210481846,11.24898332,-1.7,311.375665
2.7,11.25,-1.7,311.3849238
1.982606948,11.85,-1.7,311.3896599
2.7,11.85,-1.7,311.3985723
3,12,-1.7,311.435157
1.3,10.65,0,300.2376123
1.7,10.65,0,300.1883804
2.2,10.65,0,300.1767136
1.856477493,11.08465504,0.3,300.1540987
1.7,11.25,0,300.2125687
2.30918075,11.10728537,0,300.1843056
1.7,11.85,0,300.2148706
2.2,11.85,0,300.2030991
2.7,10.65,0,300.1381716
2.430941923,11.00462794,0.3,300.1161814
2.7,11.25,0,300.1653235
2.232667668,12,0,300.1979469
2.240318275,12,0.3,300.1590721
2.7,11.85,0,300.1631089
3,12,0,300.1259992
1.3,11.85,0,300.2635129
1.5,12,0.3,300.2022813
1.3,11.25,0,300.2655472
1.5,12,0,300.2402002
0.767332332,12,0,300.2864129
1.301607211,11.03820286,0.3,300.1989712
0.90918075,11.10728537,0,300.269266
0.8,10.65,0,300.2560239
0.759681725,12,0.3,300.2412222
0.3,11.85,0,300.2720027
0,12,0,300.265345
0.8,11.85,0,300.2814739
0.816172119,11.29722952,0.3,300.2235294
0.3,11.25,0,300.2745165
0.3,10.65,0,300.2424916
0,11.25,0,300.2266169
0,11.25,0.3,300.2019249
0,12,0.3,300.2259886
3,11.25,0.3,299.9815526
3,11.25,0,300.0565442
3,12,0.3,300.0419028
0.640040672,12.47575711,-2,311.4724679
0.3,12.15,-1.7,311.4180976
0,12.75,-2,311.4981491
0,12.75,-1.7,311.4650069
0.3,12.75,-1.7,311.4188645
0,13.5,-1.7,311.4707893
0,13.5,-2,311.5107644
0.3,13.35,-1.7,311.4347188
1.017393052,12.15,-1.7,311.4102965
0.858576759,12.94216837,-1.7,311.4153832
1.466768342,12.66979331,-2,311.4708173
2.353100729,12.74868805,-2,311.4716779
0.943104069,13.5,-2,311.49237
0.702621561,13.5,-1.7,311.4465325
2.297378439,13.5,-1.7,311.4401638
2.056895931,13.5,-2,311.490932
3,13.5,-2,311.5100504
2.7,12.15,-1.7,311.4130846
3,12.75,-1.7,311.4655662
3,12.75,-2,311.5081603
1.982606948,12.15,-1.7,311.4057195
2.7,12.75,-1.7,311.4191533
1.017393052,13.35,-1.7,311.4222747
1.5,13.5,-1.7,311.4440471
2.210481846,12.74898332,-1.7,311.4093923
1.458087574,12.8198027,-1.7,311.4149758
1.982606948,13.35,-1.7,311.4235834
2.7,13.35,-1.7,311.4328088
3,13.5,-1.7,311.4747516
2.2,12.15,0,300.2317078
1.7,12.15,0,300.2418452
2.7,12.15,0,300.1952166
1.3,12.15,0,300.2900815
0.90918075,12.60728537,0,300.3209981
1.301607211,12.53820286,0.3,300.2509845
0.8,12.15,0,300.3086725
1.7,12.75,0,300.2645379
1.3,12.75,0,300.3168457
0.8,13.35,0,300.3314848
0.3,13.35,0,300.3215253
0.3,12.75,0,300.3261971
0.816172119,12.79722952,0.3,300.2751285
0.3,12.15,0,300.2953211
1.3,13.35,0,300.313181
0,12.75,0,300.2865697
0,12.75,0.3,300.2533536
1.5,13.5,0,300.2880904
0.767332332,13.5,0,300.3344492
1.5,13.5,0.3,300.2504082
1.7,13.35,0,300.264514
2.232667668,13.5,0,300.2442478
0.759681725,13.5,0.3,300.2890373
0,13.5,0,300.3133333
